nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2020;Tahun;199186.57036;PAPUA
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2019;Tahun;164162.97819;ACEH
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2019;Tahun;799608.95424;"SUMATERA UTARA"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2019;Tahun;245949.73717;"SUMATERA BARAT"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2019;Tahun;760247.5089;RIAU
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2019;Tahun;216927.70824;JAMBI
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2019;Tahun;453402.71408;"SUMATERA SELATAN"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2019;Tahun;72098.24045;BENGKULU
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2019;Tahun;356676.82841;LAMPUNG
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2019;Tahun;75794.9595;"KEP. BANGKA BELITUNG"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2019;Tahun;267631.47789;"KEP. RIAU"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2019;Tahun;2815636.15703;"DKI JAKARTA"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2019;Tahun;2123153.71147;"JAWA BARAT"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2019;Tahun;1360960.13098;"JAWA TENGAH"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2019;Tahun;141047.688;"DI YOGYAKARTA"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2019;Tahun;2345548.55228;"JAWA TIMUR"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2019;Tahun;661321.34075;BANTEN
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2019;Tahun;251934.09783;BALI
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2019;Tahun;132500.09976;"NUSA TENGGARA BARAT"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2019;Tahun;106731.76332;"NUSA TENGGARA TIMUR"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2019;Tahun;212150.33222;"KALIMANTAN BARAT"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2019;Tahun;150046.09564;"KALIMANTAN TENGAH"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2019;Tahun;180557.63922;"KALIMANTAN SELATAN"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2019;Tahun;652480.25735;"KALIMANTAN TIMUR"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2019;Tahun;96509.92957;"KALIMANTAN UTARA"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2019;Tahun;130126.51004;"SULAWESI UTARA"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2019;Tahun;185740.08721;"SULAWESI TENGAH"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2019;Tahun;504320.7251;"SULAWESI SELATAN"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2019;Tahun;129225.1475;"SULAWESI TENGGARA"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2019;Tahun;41145.44991;GORONTALO
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2019;Tahun;46365.78957;"SULAWESI BARAT"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2019;Tahun;46152.81752;MALUKU
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2019;Tahun;39695.49069;"MALUKU UTARA"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2019;Tahun;84356.96799;"PAPUA BARAT"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2019;Tahun;189510.69613;PAPUA
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2018;Tahun;155910.97703;ACEH
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2018;Tahun;741347.42764;"SUMATERA UTARA"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2018;Tahun;230367.22204;"SUMATERA BARAT"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2018;Tahun;752263.06625;RIAU
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2018;Tahun;207878.69432;JAMBI
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2018;Tahun;419392.15672;"SUMATERA SELATAN"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2018;Tahun;66402.99305;BENGKULU
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2018;Tahun;332446.07068;LAMPUNG
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2018;Tahun;73113.28166;"KEP. BANGKA BELITUNG"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2018;Tahun;248822.2331;"KEP. RIAU"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2018;Tahun;2592606.57193;"DKI JAKARTA"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2018;Tahun;1960627.65247;"JAWA BARAT"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2018;Tahun;1268261.16559;"JAWA TENGAH"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2018;Tahun;129818.35794;"DI YOGYAKARTA"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2018;Tahun;2188766.34509;"JAWA TIMUR"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2018;Tahun;613804.41441;BANTEN
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2018;Tahun;233636.77268;BALI
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2018;Tahun;123868.01543;"NUSA TENGGARA BARAT"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2018;Tahun;98930.18765;"NUSA TENGGARA TIMUR"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2018;Tahun;194138.22075;"KALIMANTAN BARAT"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2018;Tahun;138616.13466;"KALIMANTAN TENGAH"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2018;Tahun;171684.0559;"KALIMANTAN SELATAN"
